0,Poor 
1,Average | Good | Very Poor 
2,N/A 
3,Good 
4,Good 
5,Average 
6,Good | Good 
7,Good 
8,Good | Good 
9,N/A 
10,N/A 
11,Very Poor 
12,N/A 
13,Good 
14,Very Poor 
15,Good 
16,Good 
17,Good 
18,Good 
19,Good 
20,Average 
21,Good 
22,Good 
23,Very Good 
24,N/A 
25,Very Good 
26,Very Good 
27,Good 
28,Good 
29,Very Poor 
30,N/A 
31,N/A 
32,Very Good 
33,Very Poor | Poor 
34,N/A 
35,Very Poor 
36,Good 
37,Average 
38,Very Poor 
39,Very Poor 
40,Good 
41,Good 
42,Very Good 
43,Very Good 
44,Good 
45,Poor 
46,Good 
47,Very Good 
48,Good | Very Poor 
49,N/A 
50,Good 
51,N/A 
52,Good 
53,Good 
54,Very Poor | Very Poor 
55,Very Poor 
56,N/A 
57,N/A 
58,Very Good 
59,Average 
60,Good 
61,Good 
62,N/A 
63,Good 
64,Good 
65,N/A 
66,Very Poor 
67,N/A 
68,Good | Very Good 
69,Good 
70,Good 
71,Good | Good 
72,Very Good 
73,N/A 
74,Good 
75,Good 
76,Average 
77,Good | Good 
78,Very Good 
79,N/A 
80,Good 
81,Average 
82,Good 
83,Good 
84,Good 
85,Very Good 
86,Good 
87,Very Poor 
88,Very Good 
89,Very Good 
90,Average 
91,Good 
92,Good 
93,N/A 
94,Good 
95,Very Poor 
96,Good 
97,Good 
98,Very Good 
99,Good 
100,Good 
101,Good 
102,Very Poor 
103,Very Poor 
104,Very Good 
105,Very Poor 
106,Very Poor | Very Poor 
107,Very Good 
108,Very Good 
109,Good 
110,Very Good 
111,Very Good 
112,Good 
113,Good 
114,N/A 
115,N/A 
116,Good 
117,Good 
118,Very Good 
119,Very Good 
120,Very Good 
121,Very Good 
122,Good 
123,Good 
124,Good 
125,Good 
126,Very Good 
127,Very Good 
128,N/A 
129,Very Good 
130,Good 
131,Very Good 
132,Very Good 
133,Good 
134,Very Good 
135,Very Good 
136,N/A 
137,Good 
138,Poor | Very Poor 
139,Good 
140,Very Good 
